Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF
196307,  -0.49,  -0.22,  -1.41,   2.29,  -0.69,  -0.23,  -1.03,   0.56,   0.80,  -1.61,-0.0044
196308,   4.89,   6.55,   6.20,   3.93,   5.14,   4.29,   6.43,   9.56,   4.20,   5.49,0.0502
196309,  -1.69,  -0.24,  -0.76,  -3.64,   0.13,   2.36,   0.97,  -4.06,  -2.50,  -3.16,-0.0146
196310,   2.65,   9.72,   2.58,  -0.32,   8.29,   3.40,   0.52,   3.38,  -0.67,   1.38,0.0248
196311,  -1.13,  -4.84,   0.30,  -1.15,  -0.29,   4.16,  -1.23,  -1.65,  -1.02,   0.23,-0.0083
196312,   2.81,   0.27,   1.91,   4.65,   3.05,  -0.14,   0.34,   1.54,   2.42,   2.80,0.0188
196401,   0.79,   1.19,   2.69,   4.84,   2.91,   3.35,   2.51,   3.68,   1.40,   1.24,0.0228
196402,   1.87,   2.14,   2.76,   1.06,   1.96,  -0.28,   1.62,   1.66,   0.87,   5.45,0.0146
196403,   3.08,   0.93,   3.70,   1.40,   3.38,  -0.94,   2.43,  -1.94,  -0.75,   2.18,0.0145
196404,  -0.48,   1.93,  -1.72,   4.02,  -3.63,   0.81,   2.86,  -1.42,   1.06,   0.26,0.0017
196405,   1.56,   1.12,   1.77,   2.14,   2.74,  -0.40,   3.89,   0.53,   0.84,   2.42,0.0148
196406,   1.61,   0.67,   0.92,   0.65,   0.52,   4.76,   3.82,   0.59,   2.20,   1.36,0.0121
196407,   1.80,   5.28,   1.34,   3.34,  -1.80,  -1.99,   1.23,   4.76,   4.91,   1.34,0.0171
196408,  -0.26,   1.33,  -1.25,  -1.86,  -2.75,  -1.53,   0.34,  -4.22,  -0.01,  -3.13,-0.0141
196409,   1.70,   5.04,   4.77,   3.08,   1.15,  -1.02,   3.48,   2.73,   1.87,   4.05,0.0277
196410,  -0.19,   0.25,   0.30,   3.06,  -0.99,  -0.89,   2.32,   2.88,   0.95,   1.84,0.0060
196411,   0.70,  -1.38,  -0.52,   2.55,  -0.23,  -2.23,   3.27,   2.17,   1.37,  -1.80,0.0002
196412,   0.21,   1.67,  -0.82,  -0.24,  -0.01,   3.10,   0.18,   4.38,   0.50,  -1.78,0.0006
196501,   6.10,   3.76,   5.52,   0.51,   7.46,   0.27,   3.06,   7.66,   3.96,   4.72,0.0359
196502,   1.62,  -0.69,   2.51,  -3.36,   2.20,   0.79,   1.37,   2.42,   0.43,   2.58,0.0040
196503,  -0.77,   1.39,  -1.16,  -3.03,  -0.48,  -1.68,  -0.85,  -0.92,  -0.52,  -0.27,-0.0133
196504,   4.21,   7.04,   4.02,   0.86,   5.14,   2.30,   6.82,   2.98,   0.65,   2.16,0.0305
196505,  -0.77,  -3.53,  -0.52,   0.86,   0.48,   2.79,   0.18,  -1.24,  -0.97,  -1.68,-0.0075
196506,  -5.13,  -6.83,  -6.21,  -1.98,  -5.71,  -4.14,  -6.19,  -5.31,  -3.66,  -6.97,-0.0554
